curriculum_scale,value
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
0.0,21666.0
