curriculum_scale,value
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
0.0,3.1600000394149674e-12
